Artist,Name,Date,ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Milky Chance,Stolen Dance,2022-04-16,6vECYJHxYmm3Ydt3fF01pE,0.885,0.581,11,-8.813,0.0378,0.427,0.000204,0.0759,0.728,114.016,313684
Daisy the Great,Record Player (with AJR),2022-04-12,4jYt1pQqg2mIZmY4FWCZEM,0.665,0.684,11,-7.049,0.106,0.247,0,0.0636,0.927,73.986,149538
Ivory Layne,Green (Secret Songbook Sessions),2022-04-12,6VGnKsXhFekwBOAnIY8cFM,0.606,0.768,7,-7.263,0.0314,0.0293,4.07e-06,0.564,0.686,120.036,196000
Anne Reburn,Always Right,2022-04-12,2ScqUQ5JfLoTQNR4sFraId,0.852,0.189,6,-9.476,0.0473,0.812,0,0.0892,0.46,118.045,141250
AJR,Bang!,2022-03-30,5FQPpxOXsvkMN6v18gtpwY,0.74,0.517,1,-6.233,0.0506,0.0183,0,0.0558,0.698,139.917,170858
Call Security,Small Talk,2022-03-30,1sX7WFxjLV1f9Gx1d9aqD5,0.655,0.755,6,-5.553,0.0319,0.018,0,0.156,0.562,122.027,195354
Ben Folds,Kylie from Connecticut,2022-03-18,4eDRyS17Tr4ITd8BaxYcLB,0.455,0.291,7,-9.295,0.0323,0.626,0.000316,0.0988,0.194,125.9,283267
Kane Brown,One Mississippi,2022-03-15,4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0,-5.269,0.0389,0.00279,2.86e-06,0.145,0.539,100.089,213719
The Real Zebos,Your Ex Said You Can't Dance,2022-03-08,0q00BGwAHojnuz9PEXUahB,0.48,0.94,1,-3.001,0.0869,9.24e-05,1.46e-06,0.155,0.547,166.123,180467
Statues of Cats,Seven Circles,2022-03-04,5sqovI3UVxWbXOyEYzDwya,0.43,0.54,7,-6.567,0.0607,0.0268,0.000416,0.215,0.131,180.104,300000
UPSAHL,Drugs,2022-03-04,06ioYJ99HHjzRk8HrGfkKS,0.883,0.415,6,-8.571,0.174,0.35,0,0.063,0.318,76.986,155867
Camille Saint-Saëns,"Danse Macabre, Op. 40, R.171",2022-02-28,5OenUWwcUBDltPyN1Hh40D,0.371,0.131,7,-23.899,0.0422,0.898,0.925,0.0847,0.0656,106.872,442693
